Item type,Authors,Title,Journal,Publication year,Issue,Date published,ISSN,Abstract,Keywords,Column1,_1,_2,_3,_4,_5
Journal Article,"张庆广,陈静瑜,高学军,张连国,王晓芝,王玉玖,杨新芳,王建波,齐美,王红丽",单肺移植同期行心内缺损修补术一例,中华器官移植杂志,2006,2,2006,0254-1785,"目的探讨同种异体单肺移植同期行心内缺损修补治疗先天性心脏病室间隔缺损并艾森曼格综合征的可行性及围手术期的处理。方法2004年10月22日为1例先天性心脏病室间隔缺损合并艾森曼格综合征的患者在全麻低温体外循环下行右侧单肺移植,同期行室间隔缺损修补术。术中体外循环时间244min,供肺冷缺血时间6h。术后用他克莫司、霉酚酸酯和激素三联免疫抑制治疗。结果术后3d内移植肺出现中等度移植反应性肺水肿,术后7d气管切开,术后12d撤离呼吸机;术后14d出现急性排斥1次,治疗后缓解。术后肺动脉压力由术前的110/60mm Hg降到53/39mm Hg。术后30d胸片及胸部CT显示右侧移植肺清晰;肺通气/血流灌注扫描示右侧移植肺血流占90%;超声心动图检查示左心室内径较术前缩小17%,室间隔缺损修补完整,无残余分流;术后活动耐力明显改善,62d出院。结论对终末期左向右分流的先天性心脏病实施同种异体单肺移植的同期行心内畸形矫治是可行的。良好的供肺切取和保护以及完善的术后处理是成功的关键。","肺移植;;高血压,肺性;;室间隔缺损;;修补手术,外科",,,,,,
Journal Article,"周志明,赵铮铮,高勇,刘东辉,刘永欣,王泽学",同种异体犬单肺移植的实验研究,沈阳医学院学报,2006,4,2006,1008-2344,"目的:通过同种异体犬单肺移植,掌握供肺的灌注、切取、保存和修剪方法以及受体单肺移植的手术技巧。方法:杂种犬8只(供体4只,受体4只),供体犬经肺动脉顺行及逆行灌注改良Euro-Collins(iEC)液后,整块切取心肺,进行保存和修剪。受体犬取后外侧切口第4肋间入胸,切除一侧全肺后,按支气管—肺动脉—左房袖的顺序吻合。结果:全组实验无手术死亡,移植后肺动脉通畅良好,受体犬存活26h~14d。结论:通过实验,掌握了同种异体肺移植供肺获取及植入全过程,为进一步开展同种异体肺移植研究打下了基础,并为临床开展人体肺移植积累了经验。",肺移植;;同种移植;;犬,,,,,,
Journal Article,"蔡金贞,傅志仁,朱志军,张雅敏,蒋文涛,丁国善,沈中阳",肝肾等多脏器联合切取的手术方法改进,肝胆胰外科杂志,2005,3,2005,1007-1954,"目的探讨原位肝移植尸体供肝切取的手术方法改进。方法尸体供肝采用肝肾联合切取,腹主动脉插管灌注肾保存液,胰腺下沿肠系膜上静脉外科干处插管行门静脉灌注,并进行了100例次的应用。结果采用此方法切取供肝及供肾100例次,供肝及供肾的灌注及保存良好,4例胰肾联合移植,与心脏组合作完成心脏切取4例,1例与心肺组联合完成心肺肝肾的切取,未发生移植肝原发无功。发现24例动脉变异,比往年使用其他方法显著提高。未出现肝动脉、肾动脉的损伤。结论原位腹主动脉插管行动脉灌注+肠系膜上静脉外科干处插管可保证供肝、供肾的质量,缩短热缺血时间、快速降温、充分灌注;减少因劈开胰腺或直接对肝十二指肠韧带分离而造成的变异动脉的损伤;不影响心、肺的联合切取;可同时切取胰腺和脾脏。此法可在临床中加以推广。",肝移植;;多器官联合切取;;肠系膜上静脉,,,,,,
Journal Article,"沈毅,魏煜程,罗宜人,徐林浩,王明钊,王耀鹏",同种异体犬单肺移植的实验研究,青岛大学医学院学报,2004,3,2004,1001-4047,"①目的 通过同种异体犬单肺移植 ,掌握供肺的灌注、切取、保存和修剪方法以及受体单肺移植的手术方法。②方法 杂种犬及毕格犬 9只 (供体 4只 ,受体 5只 ,其中 1只供体同时为 2只受体供肺 ) ,供体犬取胸正中切口 ,经肺动脉顺行或顺行并逆行灌注改良Euro Collins(iEC)液后 ,整块切除心肺 ,置入改良iEC液中保存、修剪。受体犬取后外侧第 4肋间切口 ,切除一侧全肺后 ,按支气管 肺动脉 左房袖或左房袖 支气管 肺动脉的顺序吻合。移植术后于不同时点阻断对侧肺动脉并检测植入肺的功能参数。③结果 全组无手术死亡者 ,供肺获取顺利 ,移植后受体血流动力学状态稳定 ,植入肺功能良好 ,存活 3.5h～ 8d。④结论 掌握了同种异体肺移植供肺获取及植入受体的全过程 ,为进一步开展同种异体肺移植的研究打下了基础 ,并为临床开展人体肺移植积累了经验","肺移植;;移植,同种;;犬",,,,,,
Journal Article,"邹卫,张大发,许栋生,杨如松,刘锋",同种异体犬单肺移植供肺采取及保护,临床肺科杂志,2003,4,2003,1009-6663,"目的 通过犬肺进行肺动脉灌注 ,掌握手术方法、供肺的修剪及保存 ,为人体肺移植供肺打下基础。方法 杂种犬及毕格犬 7只 ,静脉复合及支气管插管麻醉后经胸正中切口 ,肺动脉内灌注 Euro- Collins(EC)溶液后切除心肺块 ,置入 EC液中修剪及保存。结果 供肺均顺利获得 ,供肺采取手术时间 30～ 40 min,平均 35± 0 .42min;冷缺血时间 2 0～ 6 0 min,平均 44± 0 .2 5 min;肺动脉灌注时间 6～ 30 min,平均 19± 0 .71min。结论 掌握了犬肺移植供肺切取的全过程 ,对手术、肺动脉灌注的方法等有新的认识 ,为人体肺移植供肺打下了良好的基础。",犬;;肺移植;;供肺;;同种异体,,,,,,
Journal Article,"狄文佳,冉清,张宇,邓小凡,熊玮,杜阳春,郭璞,杨洪吉",脑-心双死亡供肾与尸体供肾移植后疗效的比较,肾脏病与透析肾移植杂志,2015,4,2015,1006-298X,"目的:比较脑-心双死亡器官捐赠(DBCD)供肾与传统尸体供肾移植的3年疗效差异。方法:回顾性分析四川省人民医院器官移植中心2009年11月至2012年1月的24例DBCD供肾移植受者及同期59例传统尸体肾移植受者,所有受者术后随访3年,比较两组受者肾移植术后围手术期并发症发生率,及3年内感染、排斥反应发生率,术后糖尿病、高血压、高脂血症发生率,术后收缩压、舒张压、胆固醇、三酰甘油、低密度脂蛋白、高密度脂蛋白,术后新发肿瘤发生率、钙调神经蛋白抑制剂(CNI)药物转化率;以及肾移植术后估算的肾小球滤过率(e GFR)情况,人/肾1年、2年、3年存活率等方面的差异。结果:DBCD肾移植组术后移植肾功能恢复延迟(DGF)和感染的发生率为33.3%和37.5%,而传统尸体肾移植组为11.9%和20.3%,差异有统计学意义(P<0.05)。术后7d和14d,DBCD肾移植组的e GFR低于传统尸体肾移植组(P<0.05),但术后1个月至3年,两组受者的e GFR差异无统计学意义。DBCD肾移植组术后1年、2年和3年的移植人/肾存活率分别为95.8%、87.5%、83.3%和95.8%、83.3%、75.0%,而传统尸体肾移植组分别为98.3%、94.9%、88.1%和96.6%、93.2%、78.0%,两组的差异无统计学意义。结论:DBCD肾移植术后发生DGF及围手术期感染的发生率较高,但其长期疗效与传统尸体肾移植相当。",肾移植;;脑-心双死亡器官捐赠;;疗效;;并发症,,,,,,
Journal Article,"孙承军,张熙曾,张兴义,田荣阁",西洋参二醇组皂甙对犬肺脏热缺血/再灌注损伤的保护作用,中国中西医结合外科杂志,1997,4,1997,,本实验以犬肺脏热缺血／再灌注损伤模型为研究手段，以血浆和肺组织丙二醛（ＭＤＡ）含量、肺静脉血氧分压（ＰＯ２）和二氧化碳分压（ＰＣＯ２）、肺组织湿重／干重及肺组织形态学改变为观察指标，探讨自由基引起肺脏损伤的机理及西洋参二醇组皂甙（ＰＱＳ）对肺脏的保护作用。发现ＰＱＳ可降低血浆及肺组织ＭＤＡ含量，降低肺组织湿重／干重，减轻肺组织学损伤。证实ＰＱＳ能减轻氧自由基对肺组织的损伤，保护肺脏功能。,"西洋参二醇组皂甙,热缺血／再灌注损伤,氧自由基",,,,,,
Journal Article,"罗万俊,陈胜喜,蒋海河,郭曲练,李国虎,周汉槎",缺血预处理对犬移植肺保存效果的研究,湖南医科大学学报,1997,3,1997,1000-5625,１２次犬异体左肺移植随机分为冷Ｅｕｒｏ－Ｃｏｌｉｎｓ液（ＥＣＳ）组（ｎ＝６）和缺血预处理＋ＥＣＳ组（ｎ＝６）。缺血预处理采用阻断供体左肺门１０ｍｉｎ，再开放１５ｍｉｎ的方法。供肺冷灌采取后４℃保存。移植后观察２ｈ。结果显示：缺血预处理组有较高的氧分压和较低的平均肺动脉压（Ｐ＜０．０５），肺组织光镜显示较轻的肺损伤。表明缺血预处理结合４℃ＥＣＳ灌洗优于单独４℃ＥＣＳ的保护效果。,肺移植；再灌注损伤；缺血预处理；狗,,,,,,
Journal Article,"郭曲练,徐道妙,申建初,谭秀娟",缺血预处理对犬单肺移植后血液动力学的影响,中华麻醉学杂志,1999,7,1999,0254-1416,"目的 观察供肺缺血预处理对犬肺移植后血液动力学的影响。方法 健康家犬 16条 ,随机分为供肺犬和受肺犬各 8条 ,供肺均经 4℃ Euro- Collin氏液冷灌并保存 3小时 ,其中 4条给予左肺门阻断 10分钟再灌注 15分钟的缺血预处理 (实验组 )。另外 4条无肺门阻断作为对照组。并于移植前后定期观察受体犬血液动力学变化及血浆 TXB2 和 6- keto- PGF1α含量变化。结果 肺移植后 3 0分钟内两组肺动脉压均明显升高 ( P<0 .0 5 ) ,但实验组升高的幅度及维持时程均小于对照组 ( P<0 .0 5 )。两组动物 TXB2 水平均明显升高 ( P<0 .0 5 ) ,对照组更明显 ( P<0 .0 5 )。结论 供肺缺血预处理对稳定肺移植后机体血液动力学有一定作用 ,其机制可能与降低血中 TXA2 的升幅有关。","肺;;移植,同种;;缺血预处理;;血液动力学",,,,,,
Journal Article,"周仑,陈椿,金友松,林培裘,林若柏",肺移植的动物实验研究,福建医科大学学报,2001,1,2001,1000-2235,"目的 观察实验动物肺移植后肺功能等恢复情况。 方法 用犬及牛做左肺自体及异体移植各 4次。 结果 移植肺通气及换气功能正常 ,移植后动物恢复自主呼吸 ,能站立行走。 结论 本方法可供做动物的肺移植实验 ,为临床开展肺移植做准备","动物,实验;;肺移植",,,,,,
Journal Article,"孟辉,高玲,申洪,陈钢,赵菲",犬肺移植中供体肺泡上皮细胞核的形态计量研究,中国体视学与图像分析,2002,3,2002,1007-1482,"目的:探讨EC液低温灌注犬肺离体保存组织结构随保存时间变化的特点及规律,评价EC液低温灌注对犬肺的保存效果。方法:4C EC液灌注6只健康成年杂种犬肺并离体低温保存,灌注结束后,分别保存30、60、120、180、240min,取材制作组织标本,测试、观察不同时点肺组织湿干重与肺泡上皮细胞核的体积密度(Vv)、表面积密度(Sv)、表面积与体积比(Rsv),以灌注前为对照组。结果:肺组织湿干重比、肺泡上皮细胞核的Vv、Sv、Rsv随低温保存时间变化无显著性差异(P>0.05)。结论: 保存4h内肺组织结构的特点没有变化,肺泡上皮细胞核的Vv、Sv、Rsv变化不明显,改进后的EC保存液可以用于供体肺保存。",肺移植;;肺保存;;肺泡上皮细胞;;形态计量学,,,,,,
Journal Article,"涂远荣,张华,李旭,王于,陈家松,林敏,赖繁彩",单肺移植的动物实验研究,福建医药杂志,2003,3,2003,1002-2600,"目的 犬单侧肺移植术后观测移植肺的功能。方法 犬 2 0只 ,选体重接近者配对作为供受体进行单肺移植 (左右各 5次 ) ,供体肺接受前列腺素 E1 注射后继之以改良 Euro- Collins液自动脉灌注保存 ,缺血时间为 4 h～6 h。移植术后结扎对侧自体肺动脉并于不同时间点检测植入肺的功能参数。结果 血气分析、气道压力及肺含水量测定结果均表明植入肺的良好功能。 结论 受体犬结扎对侧自体肺动脉后 ,植入的供肺仍能接受全部右心排量并维持较好的气体交换功能",单肺移植;;犬;;实验研究,,,,,,
Journal Article,"杨鸿生,叶卫华,任琼辉,何建超,刘长春,孙嘉智",热缺血期间持续通气对无心跳兔肺的保护作用,中华器官移植杂志,2004,5,2004,0254-1785,"目的研究热缺血期间持续通气对无心跳供者(NHBD)的肺的保护作用。方法将12只日本大耳白兔作为供者,随机分为两组,在无肝素抗凝处理条件下处死动物,经历热缺血1h。对照组热缺血期间不给予通气,实验组热缺血期间给予持续通气,然后均以4℃EuroCollins液灌洗,冷保存2h。另取同种兔12只,建立离体兔肺灌注模型,对保存的兔肺进行再灌注。分别评价血流动力学、肺泡细胞生存能力、组织学改变、血液气体分析及湿干比。结果实验组与对照组相比,肺血管阻力较低,肺泡细胞生存能力较高,肺血管内血栓数较少,动脉血氧分压较高,湿干比较低。病理学检查,实验组肺损伤程度较对照组轻。结论热缺血期间的持续通气对无肝素抗凝处理的无心跳供者的肺具有明显的保护作用。",组织供者;;再灌注损伤;;肺通气;;细胞保护,,,,,,
Journal Article,"廖东山,廖崇先,李增棋",大白鼠无心跳供体肺移植模型的建立,中华实验外科杂志,2004,6,2004,1001-9030,"目的 建立无心跳供体肺移植的模型 ,探讨无心跳供体肺应用于肺移植的可能性。方法 60只健康SD大白鼠 ,随机分成 3组 :1组为有心跳供体组 ;2组为无心跳供体 热缺血 3 0min组 ;3组为无心跳供体 热缺血 60min组。供肺置于 4℃低钾右旋糖苷 (LPD)液中 4h。受体鼠行左侧开胸术和原位左肺移植术。术后维持辅助呼吸 1h ,阻断右肺门。结果 2组与 1组相比 ,受体存活时间、移植后肺顺应性、超微结构、粒细胞浸润、气体交换等指标的差异均无显著性 (P >0 .0 5 )。3组与 1、2组相比差异有显著性 (P <0 .0 5 )。结论 成功建立了无心跳供体肺移植的实验模型 ,采用无心跳供体肺是肺移植一种安全而有效的方法。热缺血 3 0min大白鼠无心跳供体肺适于肺移植","大鼠;;肺;;移植;;模型,动物",,,,,,
Journal Article,"许崇武,李野,王雪峰,王柏春",硝普钠结合控制性再灌注预防肺缺血再灌注损伤的实验研究,哈尔滨医科大学学报,2004,2,2004,1000-1905,"目的 探讨硝普钠结合控制性再灌注在预防肺缺血再灌注损伤中的作用及其机制。方法 将 1 4只猪随机分为对照组 (Ⅰ组 )和实验组 (Ⅱ组 )。对照组在去除肺动脉阻断 ,恢复自体血流前 ,给予控制性再灌注处理 (灌注液 :去白细胞∶改良Buckberg液 =4∶1 ,灌注压 1 8mmHg ,灌注时间 1 0min ,温度 37℃± 1℃ )。实验组在去除肺动脉阻断 ,恢复自体血流前 ,给予控制性再灌注 ,后经肺动脉以每分钟 1 .0 μg kg注入硝普钠 1 0min ,余处置同对照组。 0 .5 ,1和 2h后测血氧分压、肺血管阻力、肺顺应性及肺氧合功能变化 ,实验结束后 ,取肺组织测NO含量、MDA含量及肺含水量。结果 实验组的左肺氧合功能和肺顺应性明显好于对照组 (P <0 .0 5 )。肺循环阻力、丙二醛 (MDA)值及肺含水量均低于对照组 (P <0 .0 1 )。实验组肺中NO含量较对照组明显升高 (P <0 .0 1 )。结论 硝普钠结合控制性再灌注能明显降低肺缺血再灌注损伤 ,起到了较好的移植肺保护效果",肺移植;;硝普钠;;控制性再灌注;;缺血再灌注损伤,,,,,,
Journal Article,"廖东山,廖崇先,陈志哲,李增棋",大白鼠无心跳供体肺移植的实验研究,中华外科杂志,2004,2,2004,0529-5815,"目的 探讨不同热缺血时间对无心跳供体肺的组织结构和功能的影响及无心跳供体肺应用于肺移植的可能性。 方法 取 6 0只健康大白鼠 ,随机分成有心跳组、无心跳 缺血 30min组、无心跳 缺血 6 0min组 ,每组 10对 ,分别为供体和受体。有心跳组供体在处死的同时灌注 4℃低钾右旋糖苷液 ,无心跳 缺血 30min组、无心跳 缺血 6 0min组供体处死后维持辅助呼吸 ,分别放置室温中30和 6 0min ,再灌注低钾右旋糖苷液 ,供肺置于 4℃低钾右旋糖苷液中 4h。受体鼠行左侧开胸术和原位左肺移植术。术后维持辅助呼吸 1h ,经右侧进胸 ,阻断右肺门。 结果 无心跳 缺血 30min组存活时间均超过 30min ,肺顺应性为 0 .16 4 0± 0 0 0 4 9,动脉血氧分压 (85± 4 )mmHg ,动脉血二氧化碳分压 (41 9± 1 9)mmHg ,腺苷核苷酸总量 (75 8± 30 )mol/ g蛋白 ,超微结构改变为轻度的淤血和肺实质水肿 ,与有心跳组相比 ,差异均无显著意义 (P >0 0 5 )。无心跳 缺血 6 0min组有 4只 10min后心跳停止 ,3只 2 0min后心跳停止 ,与另两组相比 ,所测各项指标的差异有显著意义 (P <0 0 5 )。 结论 采用无心跳供体是增加供肺来源的一种安全而有效的方法 ,热缺血 30min大白鼠无心跳供体肺适于肺移植。","组织供体;;大鼠,Sprague-Dawley;;肺移植",,,,,,
Journal Article,"孙宗全,史嘉玮,张凯伦,肖诗亮,董念国,蒋雄刚,刘成硅",心、肺联合移植一例报告,中华器官移植杂志,2005,1,2005,0254-1785,"目的对1例心、肺联合移植术进行总结分析。方法对1例患先天性心脏病、室间隔缺损合并艾森曼格综合征者施行同种异体原位心、肺联合移植术,手术在中低温、体外循环下进行。术后对受者进行密切监护,积极防治排斥反应和感染。结果术中体外循环时间240min,升主动脉阻断时间125min;患者术后第7、203d发生移植肺急性排斥反应,第177、228d发生移植心急性排斥反应,均经治疗逆转;第9d发生肺部及胸腔感染,经抗感染治疗痊愈;第265d发生肺部毛霉菌感染,经两性霉素B治疗后症状控制;目前受者的心功能为Ⅰ级,超声心动图提示心脏结构及瓣膜功能基本正常,肺部感染的临床表现基本消失,生活自理。结论良好的心肺保护、细致的外科操作和正确的围手术期处理是心、肺联合移植成功的关键。",心肺移植;;手术期间;;综合分析,,,,,,
Journal Article,"刘铁梅,白小平,杨江海,邢美丽,肖国梅",单侧犬肺原位移植的手术配合,现代护理,2005,20,2005,1009-9689,"目的通过实验犬单肺移植,探索和解决临床肺移植所遇到的实际问题,为临床肺移植的成功奠定基础。方法12只犬,按要求分成供体组和受体组,进行单肺原位移植。结果6只犬肺移植顺利,无手术死亡。存活时间为48~168 h。结论达到了一侧肺移植手术完成后近期成功的标准[1],肺动脉、肺静脉或左房袖吻合口不漏血、不狭窄、无栓塞及充盈良好,支气管吻合口不漏气、不狭窄及肺膨胀良好。本组实验的成功对临床肺移植的开展具有现实的指导价值。",犬;;肺移植;;手术室护理,,,,,,
Journal Article,"许崇武,李野,李楠,王雪峰,王柏春",硝普钠在预防肺缺血再灌注损伤中的作用及机制,中华器官移植杂志,2005,4,2005,0254-1785,"目的探讨硝普钠在预防肺缺血再灌注损伤中的作用及其机制。方法将14头猪随机平均分为对照组和实验组。对照组:在去除肺动脉阻断,恢复自体血流前,给予控制性再灌注[用35℃-37℃再灌注液(去白细胞:改良Buckberg液=4:1),灌注压18 mm Hg,灌注时间10min]。实验组:在去除肺动脉阻断,恢复自体血流前,给予控制性再灌注;后经肺动脉注入硝普钠1.0μg·kg-1·min-1 ×10min。0.5、1和2 h后测两组的血氧分压、肺血管阻力、肺顺应性及肺氧合功能变化;实验结束后,取肺组织测一氧化氮(NO)含量、丙二醛(MDA)含量及肺含水量。结果实验组的左肺氧合功能和肺顺应性明显好于对照组(P<0.05)。肺循环阻力、MDA含量及肺含水量均低于对照组(P <0.01)。实验组和对照组肺组织中NO含量分别为:(114.41±6.77)μmol/L和(56.67±7.42) μmol/L,实验组较对照组明显升高(P<0.01)。结论硝普钠可使肺组织中NO含量显著升高,有效的预防了肺缺血再灌注损伤。",肺移植;;硝普钠;;一氧化氮供体;;再灌注损伤,,,,,,
Journal Article,"林若柏,康明强,林培裘,陈椿,林江波,陈舒晨,郑炜,郭朝晖,朱勇,邓帆,林英,李伟",右单肺移植治疗终末期肺气肿1例报告,福建医科大学学报,2006,6,2006,1672-4194,"目的探讨单肺移植治疗终末期肺气肿的可行性,并总结术后处理体会。方法以低钾右旋糖酐液为肺保存液,采用顺灌结合逆灌的肺灌注方法,在非体外循环下为1例终末期肺气肿患者进行同种异体右肺移植术,术后采用新三联免疫抑制剂。结果术后移植肺再灌注损伤轻,43 h顺利脱离呼吸机;术后第6天发生1次急性排斥反应,甲基强的松龙冲击治疗后消退;术后移植肺感染轻,但自体左肺反复感染。术后73 d出院,肺功能改善明显,目前生存14个月,生活质量良好。结论单肺移植是治疗终末期肺气肿的有效手段,术前充分的准备和细心的围术期管理,特别注重单肺移植后自体肺感染的防治,是肺移植能否成功和长期存活的关键。",肺气肿;;肺移植;;并发症;;肺炎,,,,,,
Journal Article,"马延平,刘天起,王东,王春生",原位心脏移植术的围术期临床经验及效果,中国心血管病研究杂志,2006,5,2006,1672-5301,"目的总结心脏移植围术期的心肌保护方法和经验。方法2003年3月至2005年11月为11例终末期心脏病患者实施了原位心脏移植,其中心-肺联合移植、心-肾联合移植各1例。采取标准法1例,双腔静脉法10例。结果全组热缺血时间8￣12min,冷缺血时间90￣292min,术中心肌自动复跳10例,1例电除颤复跳。术后1周超声心动图示各心腔大小、EF值均在正常范围。死亡3例:心-肺联合移植术后气管吻合口瘘合并重度感染1例,心-肾联合移植、单纯心脏移植术后急性肾功能衰竭各1例。随访1￣29个月,8例存活患者心功能均恢复至Ⅰ￣Ⅱ级。结论心脏移植术中除在供心的正确切取过程中注意供心的心肌保护外,还应在术中吻合、术后管理过程的整个围手术期都要重点加强心肌保护,这些均是手术成功的重要基础。",心脏移植;;围手术期医护;;心肌缺血;;心肌再灌注,,,,,,
Journal Article,"刘昌,宋宇龙,刘峰,王自法,吕毅",大鼠供肝冷缺血时间与肝移植术后受者肺损伤的关系,中华器官移植杂志,2006,3,2006,0254-1785,"目的探讨大鼠供肝冷保存时间与肝移植术后受者肺损伤的关系。方法用W istar大鼠建立原位肝移植模型,按供肝冷保存时间的不同分为5组(n=10),A组为假手术组,B组、C组、D组及E组的供肝冷保存时间分别为45 m in、90 m in、120 m in及180 m in。各组大鼠在移植肝恢复血流180 m in后处死,观察肺组织病理学变化,测定肺组织湿干重比值(W/D)、肺组织中髓过氧化氢酶(MPO)的活性,同时检测肝脏流出道血清肿瘤坏死因子(TNF-α)和白细胞介素1β(IL-1β)的水平以及肺组织中TNF-α和IL-1β的表达。结果随着供肝冷保存时间的延长,肝脏流出道血清TNF-α和IL-1β水平及肺组织中TNF-α和IL-1β的表达均逐渐升高,肺组织W/D和MPO活性逐渐增高,肺损伤加重。结论供肝冷缺血时间与肝移植术后受者肺损伤相关,肺损伤随供肝冷缺血时间的延长而加重;血清中TNF-α和IL-1β升高及肺组织中TNF-α和IL-1β表达上调可能与肝移植后的肺损伤有关。",肝移植;;肺;;器官保存;;大鼠,,,,,,
Journal Article,"王亦斌,于立新,王志鹏,王元占",大鼠心脏移植急性排斥反应动物模型的建立,中国实验动物学报,2006,1,2006,1005-4847,"目的为探索器官移植后急性排斥反应的一种快速可靠的诊断方法。方法先暴露和游离受体的吻合段血管,再获取供心以缩短移植心脏冷缺血时间;保留供者的心脏及右上肺,将其胸主动脉与受者的腹主动脉间断端侧吻合;开放血流时,先开放远心端再间断开放近心端,同时按摩心脏至心脏搏动规律、有力,其色泽恢复红润,右上肺亦充盈良好。结果A组(n=20)成功16只,动脉吻合口出血2只、心脏复跳失败1只、吻合口狭窄1只;B组(n=20)成功17只,2只死于吻合口出血,1只死于吻合口狭窄。A组手术成功率为80%,B组为85%(P>0.05)。结论(1)先暴露并游离好受体血管吻合段,再获取供心,可以缩短移植心冷缺血时间。(2)边灌注边获取的方法利于快速而又完整的获取供心。(3)在切取和植入的过程中一定要注意低温保护。(4)利用腹主动脉段进行移植,使手术方便易行。左心做功的大鼠腹部心脏移植模型简单、安全、实用,因其左心参与循环而使血流动力学更接近生理状态,是进行心脏移植及血流动力学研究的较理想模型。","心脏移植;;移植物排斥;;模型,动物",,,,,,
Journal Article,"胡滨,侯生才,李辉,王洋,李彤,张振葵,苗劲柏,傅毅立",LPD液对无心跳供体肺的保护作用,中华胸心血管外科杂志,2007,3,2007,1001-4497,"目的从肺组织病理学角度,评价低钾右旋糖酐(LPD)液对无心跳供体(NHBD)肺的保护作用。方法左侧供体肺使用 LPD 液采用顺行和逆行灌注技术。对在4℃灌注液中保存6、12、18、24 h 和缺血-再灌注1 h 的标本行组织病理学检查。结果随着冷保存时间的延长,供体肺组织病理变化并不明显。仅12、18和24 h 组可见灶状肺泡萎陷;缺血-再灌注组的肺小动脉及血管内充血,部分肺泡壁血管充血伴周围炎性细胞渗出。结论 LPD 液可以安全的应用于临床尸体肺移植术。LPD 液优良的保存效果使其可以扩大供体肺的数量和延长供体肺的安全缺血时限。",肺移植;;器官保存;;器官保存液;;组织病理学,,,,,,
Journal Article,"陈椿,陈道中",袖套法建立大鼠肺移植模型的改进,中华实验外科杂志,2007,11,2007,1001-9030,"目的探讨袖套技术建立大鼠肺移植模型的方法改进。方法用改进的袖套技术建立大鼠肺移植模型。结果30例大鼠肺移植,手术成功率90%(27/30),术后生存率100%,供肺摘取需时(1.0±0.5)min,供肺完成肺动静脉和支气管套管时间分别为(1.0±0.5)、(2.0±1.0)和(2.0±0.5)min,供受体肺动静脉和支气管吻合时间分别为(3.0±2.0)、(7.0±2.0)和(1.5±0.5)min。结论改进的袖套技术具有供肺获取、肺动静脉和支气管套管和吻合更快速、简化、有效的优点。",肺移植;;技术;;模型，动物,,,,,,
Journal Article,"周悦,骆金华,徐骁晗,朱秉智",硝酸甘油及前列腺素对离体兔肺的保护作用,江苏医药,2007,7,2007,0253-3685,"目的探讨硝酸甘油及前列腺素对离体兔肺的保护作用。方法18只兔随机分为对照组(A组)、硝酸甘油组(B组)和前列腺素E组(C组),每组6只。建立离体兔肺灌注模型。分别在2h和4h取肺部分标本做电镜分析。4h末检测肺湿/干重比(W/D)、肺气道压力(Paw)、并将自身静脉血用泵从主肺动脉泵入,用负压吸引真空试管将肺静脉血自左心房引出后做血气分析。结果C组肺组织气体交换功能的保护作用以及降低供体肺保存过程中含水量的作用明显优于其他组;降低气道压力和B组相当,明显优于对照组。B组肺实质细胞的气体交换功能的保护、降低肺含水量以及降低气道压力明显优于A组。结论UW液中加入前列腺素E进行离体肺灌注可以使肺保存时间明显延长、肺气体交换功能保存良好。",肺灌注;;肺保护;;前列腺素E;;硝酸甘油,,,,,,
Journal Article,"徐松涛,郭卫刚,谭黎杰,丁建勇,王群",无心跳供体大鼠同种异体左肺原位移植模型的热缺血时限,复旦学报(医学版),2008,5,2008,1672-8467,"目的建立无心跳供体(NHBD)大鼠同种异体左肺原位移植模型,比较不同热缺血时间(WIT)对大鼠移植肺功能和结构的影响。方法将32只SD大鼠按供受体随机配对成16对,分成4组,分别为有心跳供体组(对照组,HBD)、NHBD热缺血1 h组(实验组,NHBD1h)、热缺血2 h组(实验组,NHBD2h)和热缺血3 h组(实验组,NHBD3h),每组4对。供肺摘取后置于4℃低钾右旋糖苷(LPD)液中4 h。采用三\袖套\""套管法行左肺原位移植术。测定和观察移植前、移植后10 min1、h和2 h的右颈动脉血气",移植后2 h的左肺静脉血气、移植肺湿/干重比和组织形态学改变。结果NHBD1h组移植肺再灌注10 min1、h和2 h所采集的右颈动脉血PaO2数值(177.8±15.5、162.0±19.3和195.5±26.4)和对照组HBD组(187.3±34.4、191.8±36.6和198.8±36.6)的差别没有统计学意义;再灌注10 min和2 h,NHBD2h组右颈动脉血PaO2数值(154.8±25.2和116.5±32.1)以及NHBD3h组(121.0±28.2和88.3±23.6)和对照组的差别有统计学意义(P<0.05)。移植肺再灌注2 h后,NHBD1h组左肺静脉血PaO2数值与对照组的差别没有统计学意义(132.3±33.8vs143.8±17.1),NHBD2h和NHBD3h组与对照组的差别均有统计学意义(78.8±16.1vs143.8±17.1,70.8±15.5vs143.8±17.1,P<0.05)。NHBD3h组的湿/干重比数值和肺损伤程度病理评分与对照组的差别有统计学意义(P<0.05)。结论本实验成功建立了NHBD大鼠同种异体左肺原位移植模型,在本实验动物模型中
