id_number,title_ch,authors_ch,institutions,funding,journal,journal_issue,keywords_ch,abstract_ch
577,同种异体原位肝移植一例报告,郑树森; 潘松龄; 黄钟英; 孙义国; 金炜; 黄东胜; 王伟林; 于吉人; 王正; 张珉,浙江医科大学附属第一医院肝胆外科,NA,中华器官移植杂志; CHINEAE JOURNAL OF ORGAN TRANSPLANTATION,1995年01期,肝; 移植; 平滑肌肉瘤,为一肝脏巨大平滑肌肉瘤患者进行原位肝移植术。供者为一２５岁的男性脑死亡者。供肝用４℃ＵＷ液自腹主动脉灌注，快速切取肝脏，热缺血时间为８分钟。受者用＂Ｙ＂形管建立左侧股静脉、门静脉和左侧腋静脉的体外循环后切除病肝，供肝的肝上下腔静脉、肝下下腔静脉和门静脉与受者的相应血管行端端吻合。术后并发腹腔内出血、急性肾功能衰竭、肺部感染和黄疸等，于术后４７天死于脑溢血。该例移植肝功能良好，未出现排斥反应。应用ＵＷ液灌洗和保存肝脏，快速切取肝脏，能提高供肝质量。术后早期应测定血中环孢素Ａ的浓度，慎用广谱抗生素。
97,原位肝移植术后胆道并发症的预防和治疗(附43例肝移植报告),傅宏; 傅志仁; 丁国善; 王正昕; 张建军; 倪之嘉; 郭闻渊; 施晓敏; 胡志前,第二军医大学长征医院器官移植中心; 第二军医大学长征医院普通外科 200003; 200003; 200003,NA,外科理论与实践; Journal of Surgery Concepts & Practice,2003年06期,原位肝移植; 手术并发症; 胆道,目的:探讨原位肝移植术后胆道并发症的防治。方法:回顾性分析2001年10月至2003年3月的43例原位肝移植的临床资料。结果:本组43例行原位肝移植术的病人中，6例发生了胆道并发症，发生率为13.95%;计胆道狭窄3例，拔T管时胆漏2例，胆总管漏1例。前25例用UW液冲洗胆道，有5例发生胆道并发症，发生率为20.00%，后18例先用林格液彻底冲洗胆道，再用UW液灌注保存，仅1例发生胆道并发症，发生率为5.56%。留置T管的18例病人中3例发生胆道并发症，未放T管的25例中也有3例发生胆道并发症，发生率分别为16.67%和12.00%。6例胆道并发症病人中仅1例实施再次手术，1例死于严重的肺部感染，其余经PTCD充分引流、放射介入和(或)内镜气囊扩张并放置支架等治疗，均取得了满意疗效。结论:在切取供体早期用林格液彻底冲洗胆道系统，是降低胆道并发症的一种有效方法;是否放置T管取决于胆道两端口径的匹配情况和手术医生吻合技术的熟练程度，T管至少宜放置4个月;而胆道并发症的治疗大多可经非手术治愈。
611,改良肝原位快速插管灌洗法,许红兵; 萧荫祺; 李为民; 涂向群; 张培瑞; 郑方; 曹敏; 何珂,解放军第309医院肝胆外科; 解放军第309医院肝胆外科 北京 100091; 北京 100091; 北京 100091,NA,现代外科,1998年01期,供肝切取; 灌洗法; 术中; 插管; 门静脉; 门脉系统,<正> 为了尽量缩短肝移植供肝热缺血期至8min以内，我们自1994年4月至1997年4月在动物实验的基础上，成功设计了改良的肝原位快速插管灌洗法，并用于非脑死亡新鲜尸体供肝切取术中，结果满意，现报告如下:
635,心脏死亡器官捐献9例报告,李晓伟; 王亮; 陈卫国; 李沙丹; 周鹏; 王庆堂; 杨航; 蒋鑫,成都军区总医院泌尿外科,NA,实用医院临床杂志; Practical Journal of Clinical Medicine,2015年04期,心脏死亡器官捐献; 肾移植; 移植肾功能延迟恢复,目的总结心脏死亡器官捐献(donors after cardiac death，DCD)器官移植方面的经验。方法分析自我院开展DCD工作以来9例成功捐献移植病例的病例资料。结果 9例DCD者实施了15例肾移植，8例受者出现移植肾功能延迟恢复，2例受者术后因重症肺部感染死亡，其余受者移植物功能良好，1年移植物/人存活率86.6%。结论 DCD可以扩大供体器官来源，但应注意并发症，提高整体效果。
39,原位心脏移植术供心的采取与保护,于佳生; 娄德剑; 林雪维; 林长城; 张延恩; 苏润毅,山东省栖霞市人民医院心胸外科; 山东医科大学附属医院心外科; 山东医科大学附属医院心外科 265300; 265300; 265300,NA,临床医学; Clinical Medicine,2002年04期,供心; 手术; 心脏移植术; 冷停搏液,<正> 为了挽救和延长终末期心脏病患者的生命，我们于1999年8月24日成功完成1例同种异体心脏原位移植手术，在供心采取与保护方面体会如下。 1 临床资料 供心者为男性，19岁，体重55kg，供受体血型均为A型，淋巴细胞毒性实验3％，PRA15％。因颅脑外伤而脑死亡。术前供心呼吸已停止，肝素化(3mg/kg体重)。经气管切开气管插
477,亲属活体供肾移植与尸体供肾移植临床疗效的比较,马小平; 许亚宏; 李阳波; 李健; 顾新伟; 严频; 赵敏,解放军452医院泌尿外科,NA,西南国防医药; Medical Journal of National Defending Forces in Southwest China,2010年08期,肾移植; 活体供肾; 尸体供肾; 疗效比较,目的对比分析同期实施的活体供肾移植和尸体供肾移植的临床疗效，为进一步开展活体肾移植手术提供科学依据。方法回顾性分析本院自2006年7月～2009年10月实施的活体肾移植132例及尸肾移植164例的临床资料，通过对两组术后肾功能恢复效果，术后免疫抑制剂用量，1、3、6个月肾功能及24 h尿蛋白定量，术后DGF及1年内AR发生率，术后半年、1年、3年内人/肾存活率等指标的分析，对活体肾移植及尸肾移植临床疗效进行比较。结果同期进行的活体肾移植术后免疫抑制用量明显低于尸体肾移植术后用量;同期活体肾移植术后6个月内血肌酐情况与尸体肾移植无显著差异，尿蛋白定量指标与尸肾组有显著性差异(P<0.05);肾移植术后DGF、AR发生率降低，均与同期进行的尸体肾移植有显著性差异(P<0.05);活体肾移植术后3年内人/肾存活率与尸体肾移植存在显著性差异(P<0.05)。结论亲属活体肾移植术后DGF、AR、人/肾存活率均优于同期进行的尸体供肾移植，是一种安全有效的治疗手段。
184,供肝获取术中供肝质量和灌注情况的快速判断,施晓敏; 傅志仁; 丁国善; 倪之嘉; 王正昕; 郭闻渊; 傅宏,上海长征医院器官移植中心; 上海长征医院器官移植中心 上海200003; 上海200003; 上海200003,NA,肝胆外科杂志; Journal of Hepatobiliary Surgery,2005年03期,肝移植; 器官获取; 供肝质量; 灌注; 快速判断,目的探讨在供肝获取术中快速判断供肝质量和灌注情况的方法。方法对83例供肝获取术中供肝质量和灌注情况的快速判断进行总结。结果83例供体中，有16例在获取术中发现供肝质量有异常(其中7例放弃获取，9例用于移植)，有1例在获取术中判断供肝质量为正常，移植术前肝组织活检病理发现血吸虫虫卵。在76例获取的供肝中，有3例术中发现灌注不足。所有用于受体的供肝均在门静脉开放后3-15分钟内可见金黄色胆汁分泌。结论在现阶段我国多为无心跳供体和快速多器官联合获取法广泛使用的情况下，供肝获取术中供肝质量和灌注情况的快速判断尤为重要。
538,原位心脏移植治疗终末期心脏病25例临床分析,刘天起; 王东; 李培杰; 李敏; 马延平; 王明华; 李军; 许莉; 厉泉; 张辉; 路平,山东大学附属千佛山医院心外科山东省心脏移植中心,NA,中华移植杂志(电子版); Chinese Journal of Transplantation(Electronic Edition),2013年01期,心脏移植; 心脏病,目的总结同种异体原位心脏移植治疗终末期心脏病的临床疗效和经验。方法山东大学附属千佛山医院心外科自2003年3月至2012年10月为25例终末期心脏病患者施行了同种异体原位心脏移植术。原发病包括扩张型心肌病18例、肥厚型心肌病4例和缺血性心肌病3例。采用标准原位心脏移植术1例，双腔静脉吻合法原位心脏移植术24例。7例受者术前合并中度及以上肺动脉高压，术后给予一氧化氮吸入、伊洛前列素持续静脉泵入等综合措施降低肺动脉压。免疫抑制治疗采用环孢素+糖皮质激素+吗替麦考酚酯三联方案，有6例受者术中给予抗Tac单克隆抗体诱导治疗，14例受者在麻醉诱导时及术后第4天给予巴利昔单克隆抗体诱导治疗。根据血药浓度谷、峰值调整环孢素用量。结果手术成功率为96%(24/25)，1例受者于术后25h死于肠道出血。余24例受者术后平均随访(58±37)个月(1～116个月)，受者1，3，5年生存率分别为87.0%，82.3%，72.7%。术后早期发生急性排斥反应2例，晚期发生急性排斥反应4例，均经糖皮质激素冲击治疗后逆转。术后早期发生急性肾功能衰竭2例，经血液透析治疗后肾功能恢复正常;晚期发生肾功能不全4例。肺部霉菌感染3例，2例治愈。发生移植物失功2例，受者分别于术后14个月和41个月死亡。1例受者术后17个月发现子宫内膜肿瘤行子宫切除术。结论心脏移植治疗终末期心脏病疗效肯定，需严格掌握手术适应证及加强围手术期受者管理，术后规范抗排斥反应药物治疗，同时重视急性排斥反应及感染的监测和治疗。
631,活体供肾肾小球滤过率对受体中远期肾功能的影响,李兆明; 费继光; 王长希; 邱江; 黄刚; 黎东伟,中山大学附属第一医院器官移植中心,NA,热带医学杂志; Journal of Tropical Medicine,2014年11期,活体肾移植; 肾小球滤过率; 肾功能,目的探讨活体肾移植供肾肾小球滤过率(GFR)对受体中远期肾功能的影响。方法 2005年至2010年在中山大学附属第一医院移植中心接受活体肾移植治疗的无急性排斥反应、无移植肾功能延迟恢复的167例供受体为研究对象，其中亲属关系161例(97.0%)、夫妻关系5例(2.4%)，帮扶关系1例(0.6%)。术前应用放射性核素99m TC-DTPA肾动态显像测定供体左右肾GFR。供体的双肾GFR为60.5~147.6 ml/min，将对象分为供肾GFR<46ml/min 82例和供肾GFR≥46 ml/min 85例。两组受体的术前透析情况、HLA错配率，移植肾冷、热缺血时间、抗体诱导及免疫抑制方案等基本资料相似，评价患者术后中远期肾功能变化情况。结果与供肾GFR<46 ml/min组比较，供肾GFR≥46 ml/min组的血肌酐(Scr)在术后3年，4年较低，5年较高，术后3年、4年、5年的差异均无统计学意义(P>0.05)。重复测量的方差分析显示术后3~5年两组受体Scr变化差异无统计学意义(P>0.05)。相关分析法显示供者术前肾小球滤过率与受者术后3年、4年、5年Scr之间无相关关系。(r值分别为-0.023，-0.042，0.005，P>0.05)。结论活体肾移植供肾GFR高低对受体术后中远期(3~5年)的Scr整体水平及变化趋势无显著影响。
254,大鼠心脏腹腔移植模型手术并发症的分析,程晓峰; 景华; 王常田; 董国华; 许飚; 罗立国; 段贵新; 夏春秋,南京军区南京总医院心胸外科; 南京军区南京总医院心胸外科 江苏南京 210002; 江苏南京 210002,南京军区南京总医院科研基金资助项目(批准号:2005136),医学研究生学报; Journal of Medical Postgraduates,2006年05期,异位心脏移植; 大鼠; 并发症; 分析; 预防,目的:分析大鼠心脏腹腔移植模型建立中手术并发症的发生原因，以制订防治措施，提高移植成功率。方法:Wistar及SD大鼠分别作为供、受鼠，采用改进Ono术式腹腔移植术施行异位心脏移植。对预实验中并发症的发生情况进行统计，同时随机选取10只受鼠分别在麻醉后吸氧与不吸氧状态以及移植手术完成后进行血气分析， 经过技术处理和改良后，统计在正式实验中的并发症发生率，并进行对比分析。结果:预实验24只大鼠，并发症发生率为62．5％(9／24)，正式实验40只，并发症发生率为12．5％(5／40);吸氧状态下氧分压[(128±2．83)mmHg] 较非吸氧状态氧分压[(74±2．42)mmHg]显著增高(P<0．05);移植手术创伤对大鼠的损伤导致各项生理指标方面均有显著变化，尤其是代谢性酸中毒较术前更为明显(P<0．05)。结论:预实验中发现并及时总结并发症的发生情况，对血气进行分析，通过改进手术方法和技巧、正确处理病理生理变化等措施，可显著提高正式实验的手术成功率及大鼠存活率。
569,犬的原位心脏移植实验,景华; 丁永清; 李忠东; 高声甫; 周采璋; 李德闽; 李小波; 张希龙; 罗春生; 周志友,南京总医院; 南京总医院 210002; 210002; 210002,NA,南京部队医药,1995年04期,实验动物(犬)的心脏移植; 心肌保护; 供体,从1990年12月至1993年8月笔者等施行了13次犬的心脏原位移植实验，在供心的完整采取、心肌保护和心脏缝接技术等方面摸索了一套经验。第一组(6只)的供心行单次冷晶体心麻液经主动脉根部顺行灌注;第二组(7只)的供心经冠状静脉窦持续逆行灌注中低温高钾氧合血。两组供心的保存时间平均为155分。实验结果证实第二组的心肌保护效果好:心脏自动复跳率高、存活时间长(P<0.01)、心脏超微结构改变轻微;第一组心移植后存活时间为3小时～6小时10分(平均4小时47分);第二组术后存活时间3小时30分～21小时25分(平均6小时27分)。移植后死亡原因主要为心、肾功能衰竭。
328,活体亲属供肾移植12例,刘永光; 赵明; 郭颖; 范礼佩,南方医科大学珠江医院器官移植中心; 南方医科大学珠江医院器官移植中心 广州510282; 广州510282,广东省自然科学基金资助项目(编号:06024438),广东医学; Guangdong Medical Journal,2007年04期,肾移植; 活体供者; 肾,目的总结亲属活体肾移植的临床应用经验。方法回顾分析12例亲属活体肾移植其临床资料。结果供者无外科并发症发生，恢复良好。12例受者中，1例高致敏受者(群体反应性抗体，PRA100%)成功接受移植。1例发生急性排斥1次，逆转治疗后肾功能良好。1例由于擅自停用免疫抑制剂量而于移植后1年移植肾失功，余11例肾功能一直良好。结论亲属活体供肾移植效果好，安全可行。
248,无心跳供者肝肾联合切取的技术改良和临床应用,袁小鹏; 焦伟华; 李杰; 郭在柱; 高伟,广东省东莞市太平人民医院器官移植科中南大学湘雅移植医学研究院太平分院; 广东省东莞市太平人民医院器官移植科中南大学湘雅移植医学研究院太平分院 广东东莞523905; 广东东莞523905,NA,海南医学; Hainan Medical Journal,2006年02期,肝肾联合切取; 肝移植; 肾移植,目的探讨快速肝肾联合切取方法的技术改良及其应用效果。方法采用改良快速肝肾联合切取法切取供体60例，主要改良点有:原位灌注和表面降温相结合、下腔静脉及时插管引流和原位切除肠管后肝胆胰脾肾整块切取。结果获取供肝60只和供肾120只，供肝和供肾存在变异的血管均保留完整。肝移植术后无原发性移植物无功能。肝肾联合切取组肾移植受者术后第4天血肌酐值与肾脏单独切取组比较无显著性差异(157μmol/Lvs.165μmol/L，P>0.05)。结论改良的快速肝肾联合切取方法能有效地同时保护供肝和供肾的质量。
390,供体肝肾联合快速获取方法的改进及临床研究(附117例报告),宋康; 樊嘉; 周俭; 吴志全; 邱双健; 黄晓武; 孙健; 贺轶锋; 肖永胜; 史颖泓; 孙琦蛮; 汤钊猷,复旦大学附属中山医院肝癌研究所; 复旦大学附属中山医院肝癌研究所 上海200032; 上海200032,上海市科委基金项目(024119001，044119608);复旦大学青年基金项目(07-197),复旦学报(医学版); Fudan University Journal of Medical Sciences,2008年01期,肝移植; 器官获取; 器官获得; 器官保存; 供体,目的探讨供体肝肾联合快速获取方法的改进。方法分析2004年1月至2006年8月共117例肝肾联合快速切取的临床资料，观察移植术后1周的肝功能和凝血功能情况。快速切取技术采用原位腹主动脉、脾静脉灌注附加颈静脉、下腔静脉引流。采用4℃UW液和高渗枸橼酸盐腺嘌呤溶液(HCA液)灌注和保存。结果供体热缺血时间平均为2.7min，冷缺血时间平均为7h30min，切取时间平均为16.2min。肝移植术后1周的肝功能和凝血功能恢复良好，无原发性移植肝无功能的发生。联合获取方式改进后与原方法比较，γ-谷氨酰转肽酶、谷丙转氨酶、谷草转氨酶、直接胆红素、纤维蛋白原、凝血酶时间的差异均有统计学意义(P<0.05)。结论本方法简便、有效、可靠，所获取供肝的质量良好，适于供体肝肾联合快速获取。
379,肝移植胆道重建方法的临床近期疗效观察,曾仲; 陈明清; 崔平; 黄汉飞; 段键; 梁荣毕,昆明医学院第一附属医院器官移植中心; 昆明医学院第一附属医院麻醉科,NA,昆明医学院学报; Journal of Kunming Medical University,2008年04期,肝移植; 胆道重建; 预防; 治疗,目的观察肝移植胆道重建方法的临床近期疗效.方法回顾性分析2005年4月至2007年3月昆明医学院第一附属医院55例原位肝移植资料，供受者的胆管行端端连续缝合49例，间断缝合6例，均未放置T管.结果2例(3.6%，2/55)肝移植术后发生胆道并发症，分别于术后6d、10d发现胆道吻合口漏，除3例移植术后感染并多器官功能衰竭死亡外，其余患者均治愈出院.结论良好的胆道重建技术和精细的操作能减少肝移植术后胆道并发症的发生，对胆道并发症的早期处理可获得满意的效果.
633,心脏死亡器官捐献者供肾移植的可行性,刘煜; 朱雄伟; 王毅; 刘航; 沈中阳,武警总医院器官移植研究所,科技部863计划资助项目(2012AA021006),武警医学; Medical Journal of the Chinese People’s Armed Police Forces,2015年07期,心脏死亡; 器官捐献; 肾移植,目的总结心脏死亡器官捐献(donation after cardiac death，DCD)肾移植的临床资料，并探讨其可行性。方法回顾性分析2012-04至2013-12武警总医院28例DCD和52例DCD供肾移植的临床资料。结果 28例DCD属于国际标准MaastrichtⅢ类，共获取肾脏52个并实施肾移植52例。热缺血时间为(11.2±9.1)min，冷缺血时间为(4.1±2.2)h。12例发生移植肾功能延迟恢复(delayed graft function，DGF)，发生率23.08%，均于术后20~72 d肾功能恢复正常。急性排斥反应发生率3.85%(2/52)，分别于术后1、2周因移植肾破裂切除肾脏。受者死亡3例(术后3个月因巨细胞病毒性肺炎死亡1例，术后移植肾原发无功能并肺部真菌性肺炎1例，肾破裂术后感染性休克1例)。移植肾存活的47例受者，随访13~23个月，移植肾功能正常。结论 DCD供体可以扩大供体来源，缓解器官短缺困难，但应注意并发症发生，提高移植效果。
547,29例原位心脏移植近期疗效报告,潘禹辰; 罗爱国; 朱中权; 唐开维; 轩永波; 左艳; 展宇飞,中国人民解放军第181医院心脏中心,NA,心肺血管病杂志; Journal of Cardiovascular and Pulmonary Diseases,2014年01期,心脏移植; 终末期心脏病; 治疗结果,目的:总结29例原位心脏移植的近期疗效。方法:2006年10月至2012年12月，对29例终末期心脏病患者行原位心脏移植治疗。受体肺血管阻力为3.6~5.2 wood单位，平均(4.2±1.8)wood单位;应用4℃的HTK液保护供心，供心冷缺血时间为63~360 min，平均(95.5±26.7)min;29例均采用双腔静脉吻合法原位心脏移植手术;术前使用免疫诱导治疗，术后采用环孢素A、霉酚酸酯和泼尼松预防急性排斥反应。结果:术后死亡2例，1例死于术后低心排出量综合征(低心排)，1例死于急性右心衰竭。术后早期并发症有急性右心衰竭3例，急性肾衰竭2例，心包大量积液4例。结论:心脏移植近期疗效满意。选择肺血管阻力较低的患者、妥善的供心心肌保护、熟练的手术操作、合理应用免疫抑制剂和正确处理术后肾功能不全是提高心脏移植近期疗效的重要措施。
188,肝移植供肝的快速切取方法,苟欣; 张翔; 胡韵; 杨占宇; 王槐志,贵阳医学院黄河医院肝胆外科; 贵阳医学院附属医院肝胆外科; 第三军医大学西南医院肝胆外科; 第三军医大学西南医院肝胆外科 550009; 550009; 550004; 重庆400038; 重庆400038,NA,贵州医药; Guizhou Medical Journal,2005年04期,供肝; 供肝切取; 供体; 肝移植; 移植术(医学); 肝动脉变异,NA
263,无心跳供者腹腔内脏器联合切取术及肾移植效果,姜睿; 陈江华; 刘军祥,泸州医学院附属医院泌尿外科; 浙江大学医学院附属第一医院肾脏病中心; 泸州医学院流行病教研室 四川泸州646000,四川省卫生厅科研基金课题(项目编号:030071),泸州医学院学报; Journal of Luzhou Medical College,2006年06期,腹腔脏器; 手术; 切除; 肾脏; 移植,目的:总结无心跳供者腹腔内脏器联合切取术的临床经验及对肾移植效果的影响。方法:回顾性分析1993年4月至2001年7月70例无心跳供者腹腔内脏器联合切取和同期501例单纯双肾联合切取的临床资料及其肾移植随访资料。结果:在无心跳供者腹腔内脏器联合切取术组，8￣10分钟取出腹内脏器，其肾移植结果与同期单纯双肾联合切取后的肾移植比较，并发症和移植肾1年存活率等方面无统计学差异(P<0.05)。结论:腹腔内脏器联合切取术方法简便、易于掌握，能同时获取多个腹腔内脏器并维护其功能，有效利用了稀缺的供体器官资源。
345,手术方式对肝移植围术期肝功能影响,李耀锋; 周丁华; 万葆东; 赵伟; 夏启俊; 卫冰,辽宁医学院研究生院; 中国人民解放军二炮总医院普外科; 中国人民解放军二炮总医院普外科 121001辽宁省锦州市在读硕士; 100088北京市,全军医学科学技术研究十一五计划课题项目(06MA034),中国全科医学; Chinese General Practice,2007年23期,手术期间; 肝移植; 肝功能试验,目的探讨手术方式对肝移植围术期肝功能的影响。方法根据良恶性病变及手术方式的不同，从我院2004～2007年103例肝移植患者中随机抽取恶性肿瘤组行经典式手术者16例和良性病变组行背驮式手术者18例，比较两组患者围术期的丙氨酸氨基转移酶，总胆红素动态变化规律，以及手术方式对肝功能的影响。结果两组患者术中出血量和输血量间差别有显著性意义(P<0.05)，两组手术前后ALT和TBiL变化间差别有显著性意义(P<0.05)。手术方式对术后肝功能有明显影响，背驮式手术较经典式手术对肝功能的影响大，但是在术后恢复上要比经典式手术快。结论手术操作对肝功能是有影响的，应该注意手术方式的选择。
404,肾移植受者术后外科并发症615例次分析,张树栋; 马潞林; 王国良; 侯小飞; 罗康平; 赵磊,北京大学第三医院泌尿外科,NA,中国组织工程研究与临床康复; Journal of Clinical Rehabilitative Tissue Engineering Research,2008年31期,肾移植; 手术; 并发症,回顾性分析于2001-01/2005-07在本院行同种异体肾移植术615例患者的临床资料，总结本院肾移植术后外科并发症的发生原因、处理经验与教训。男347例，女268例，年龄9~75岁，体质量38~100kg。脑死亡供体采用原位低温灌注改良切取法取肾，活体供肾采用后腹腔途径开放或腹腔镜切取，进行肾移植手术。移植术后采用以FK506或环孢素A为主的三联免疫抑制剂治疗，免疫抑制剂的剂量根据血药浓度进行调整。术后随访1年，615例肾移植患者中共发生各种外科并发症29例，发生率为4.72%。由于外科并发症导致移植肾丢失5例，手术成功率为99.19%。
521,单个移植中心连续41例肝移植术后长期生存影响因素分析,蒋力; 张珂; 穆毅; 黄容海; 鲁岩; 赫嵘; 丁振昊; 刘垚; 李传胜; 李宝亮; 毛羽,首都医科大学附属北京地坛医院肝胆外科,首都特色临床医学应用发展项目(Z0005190043111),中华临床医师杂志(电子版); Chinese Journal of Clinicians(Electronic Edition),2012年02期,肝移植; 预后; 生存率,目的评价我院41例肝移植患者长期生存情况，分析影响肝移植术后长期生存的因素。方法回顾分析2004年6月至2007年1月连续完成的41例肝移植病例，统计生存率，分析死亡原因、并发症情况和再移植原因。结果本组1年、3年、5年实际生存率达到95.00%、87.50%、81.96%。终末期肝病组1、3、5年生存率96.15%、92.31%、88.46%，肝癌组1、3、5年生存率92.86%、78.57%、70.71%。结论肝癌复发、胆道铸型综合征、原发疾病复发、免疫抑制剂副作用是影响本组肝移植术后长期生存的因素。加强围手术期处理是提高肝移植患者术后长期生存率的关键因素。
598,供心热缺血耐受时限的实验研究,刘升; 黄立,NA,NA,江西医学院学报; Acta Academiae Medicinae Jiangxi,1999年04期,热缺血; 耐受时限; 心肌保护; ATP; 供心; 冷缺血期,供体心脏(供心)的心肌保护是心脏移植成功的重要保证，心脏移植术中心肌保护虽然与常规的心内直视手术大致相同，但有其特点:包括1热缺血期;2冷缺血期;3手术缺血和再灌注期[1]，在供体为脑死亡患者对其血流动力的稳定性可作出相应的处理，如监测及心血管药物的应用[2]，在我国...
136,同种原位心脏移植一例,朱宪明; 刘志平; 梁俊国; 高旭东; 特木热; 张玉龙; 赵龙; 王坚; 孟爱荣; 王桂桃; 王春生,内蒙古医学院第一附属医院; 上海中山医院 内蒙古呼和浩特010050; 内蒙古呼和浩特010050; 内蒙古呼和浩特010050,NA,内蒙古医学院学报; Acta Academiae Medicinae Neimongol,2004年01期,心脏移植; 双腔静脉法; 适应症,NA
514,无心跳供肾模型大鼠的安全热缺血时限,戴晨; 李素华; 刘健,新疆医科大学第一附属医院肾病科,新疆维吾尔自治区自然科学基金(2011211A058)，项目名称:肾移植早期体内不同免疫状态下T细胞亚群、TH1/TH2细胞因子和MICA抗体变化的前瞻研究~~,中国组织工程研究; Chinese Journal of Tissue Engineering Research,2012年05期,心脏停搏供体; 肾移植; 热缺血; 安全时限; 大鼠,背景:近年来心脏停博供体已然成为最有潜力的移植供体来源。目前有关于供肾安全热缺血期的时限研究各报道差异较大，更未上升到安全时限的理论高度。目的:探讨建立大鼠无心跳供肾模型的实验方法，并分析此供体耐受热缺血的安全时限。方法:采用断延髓法建立大鼠无心跳供肾模型，并按肾移植供体经历的热缺血时间0，10，30，60min将其分为4组。观察离体肾脏经过不同热缺血期后，供肾的组织病理学及肾组织丙二醛含量变化。结果与结论:光镜下观察，热缺血30min以前，肾脏病理改变为可逆性改变，随着热缺血时间的延长病理改变向着不可逆方向发展。与无热缺血期比较，热缺血10min组、30min组及60min组的丙二醛含量均有所升高(P<0.05);与热缺血10min组比较，热缺血30min组及60min组丙二醛含量明显升高(P<0.05);但热缺血30min与60min组差异无显著性意义(P>0.05)。提示可成功采用断延髓法建立无心跳供肾模型，并在此基础上，结合供肾的病理结果和肾组织丙二醛含量变化，综合评定无心跳供肾所能耐受的安全热缺血时限为30min。
572,尸体供肠快速获取、保存法及临床应用,李幼生; 黎介寿; 李宁; 江志伟; 李国立; 任建安; 常胜; 张亚军,南京军区南京总医院解放军普外专科中心!南京; 210002; 南京?,国家自然科学基金;全军“八五”攻关课题,金陵医院学报; BULLETIN OF JINLING HOSPITAL,1995年02期,器官获取; 器官保存; 小肠移植; 尸体,本文介绍了我国首例同种异体小肠移植的尸体供肠获取及保存方法。采用此方法获取5例尸体供肠，热缺血时间平均为5．4min．获取时间为10.4min，其中1例供肠用于临床小肠移植，其热缺血时间为6min，冷缺时间为9h45min.供肠采用低温（0～4℃）Euro－Collins液保存，未见明显的组织损伤，移植的小肠吸收功能逐渐恢复，组织结构正常。作者认为本方法适用于尸体供肠的获取及保存。
347,原位心脏移植围手术期的处理(附6例报告),余云生; 沈振亚; 于曙东; 朱江; 叶文学焦; 鹏; 黄浩岳; 朱雅萍; 卜丽芬; 胡雁秋,苏州大学附属第一医院心血管外科; 苏州大学附属第一医院心血管外科 江苏苏州215006; 江苏苏州215006,NA,苏州大学学报(医学版); Suzhou University Journal of Medical Science,2007年04期,心脏移植; 肺动脉高压; 急性肾功能衰竭; 血液透析,目的研究原位心脏移植围手术期的处理。方法对6例扩张性心肌病患者行原位心脏移植。结果2例死亡，4例存活。结论通过对心脏移植患者围手术期的处理，表明控制肺动脉高压、维持循环系统的稳定、纠治急性肾功能不全、有效的免疫抑制治疗和预防感染是围手术期的重点工作。
256,经典原位肝移植28例分析,彭贵主; 鄢业鸿; 李勇; 万仁华; 张江南; 张永模; 邹志森,南昌大学第一附属医院; 南昌大学第一附属医院 南昌330006; 南昌330006,NA,江西医药; Jiangxi Medical Journal,2006年09期,经典原位肝移植; 病例报告,目的探讨如何提高肝移植手术成功率，减少并发症及提高患者生存率。方法就我院2002年10月￣2006年3月行尸肝原位肝移植病人28例:其中原发性肝癌14例，急性重症肝炎2例，亚急性重症肝炎3例，乙肝肝硬化8例，胆汁性肝硬化1例，术后全程随访，随访时间4￣45个月，观察病人术后并发症及生存时间。结果围手术期死亡1例，手术成功率96.43%(27/28);术后死亡4例，其余均生存至今。1、2、3年生存率分别为89%、86%与82%。术后发生各种并发症7例，包括:胸腔内出血、呼吸道感染、单纯性疱疹、霉菌性肠炎、呼吸心跳骤停复苏后持续植物状态、轻微胆漏、黄疸。并发症发生率25%。结论肝移植已成为各类不可逆性终末期肝病的根本治疗方法，经典原位肝移植仍是一种较成熟的、可靠的手术方式，坚持使用术者熟悉的手术方式，及术中谨慎操作有利于减少各种并发症的发生。
69,原位心脏移植围手术期的处理,徐志飞; 赵学维; 乌立晖; 潘铁文; 钟镭; 吴彬; 费月华; 尤秀丽,第二军医大学长征医院胸心外科; 第二军医大学长征医院胸心外科 上海200003; 上海200003; 上海200003,NA,第二军医大学学报; Academic Journal of Second Military Medical University,2003年07期,心脏移植; 手术期间,选用供心 ，在全麻体外循环下 ，切除病心 ，进行原位心脏植入。围术期进行血流动力学监测及免疫抑制治疗 ，观察排斥反应。供心冷缺血时间 180 min，受体主动脉阻断 72 min，移植后心脏自动复跳 ，辅助循环 30 min后 ，顺利脱离体外循环 ，血流动力学稳定。心脏移植的成功取决于正确选择患者、采用合适的手术方式、良好的供心保护方法、术后早期的处理及免疫抑制剂的合理应用等方面
